ARREST_DATE,YEAR,MONTH,F,M,V,TOTAL,FELONY_RATIO,OPACITY
2023-11-20,2023,11,228,304,1,533,0.4277673545966230,0.4277673545966230
2023-11-21,2023,11,315,334,1,650,0.4846153846153850,0.4846153846153850
2023-11-22,2023,11,228,315,2,545,0.41834862385321100,0.41834862385321100
2023-11-23,2023,11,114,161,1,276,0.41304347826087000,0.41304347826087000
2023-11-24,2023,11,203,400,4,607,0.3344316309719930,0.3344316309719930
2023-11-25,2023,11,213,297,9,519,0.41040462427745700,0.41040462427745700
2023-11-26,2023,11,175,292,6,473,0.3699788583509510,0.3699788583509510
2023-11-27,2023,11,239,272,3,514,0.4649805447470820,0.4649805447470820
2023-11-28,2023,11,302,319,5,626,0.48242811501597400,0.48242811501597400
2023-11-29,2023,11,391,454,5,850,0.46,0.46
2023-11-30,2023,11,289,375,6,670,0.43134328358209000,0.43134328358209000
2023-12-01,2023,12,291,339,7,637,0.45682888540031400,0.45682888540031400
2023-12-02,2023,12,253,327,7,587,0.43100511073253800,0.43100511073253800
2023-12-03,2023,12,181,269,2,452,0.4004424778761060,0.4004424778761060
2023-12-04,2023,12,264,326,0,590,0.44745762711864400,0.44745762711864400
2023-12-05,2023,12,378,395,5,778,0.48586118251928000,0.48586118251928000
2023-12-06,2023,12,337,392,4,733,0.4597544338335610,0.4597544338335610
2023-12-07,2023,12,303,331,3,637,0.47566718995290400,0.47566718995290400
2023-12-08,2023,12,279,394,5,678,0.41150442477876100,0.41150442477876100
2023-12-09,2023,12,204,311,6,521,0.3915547024952020,0.3915547024952020
2023-12-10,2023,12,163,278,1,442,0.36877828054298600,0.36877828054298600
2023-12-11,2023,12,245,279,0,524,0.4675572519083970,0.4675572519083970
2023-12-12,2023,12,316,328,3,647,0.4884080370942810,0.4884080370942810
2023-12-13,2023,12,360,354,7,721,0.49930651872399400,0.49930651872399400
2023-12-14,2023,12,260,392,5,657,0.395738203957382,0.395738203957382
2023-12-15,2023,12,261,356,1,618,0.4223300970873790,0.4223300970873790
2023-12-16,2023,12,224,345,4,573,0.39092495636998300,0.39092495636998300
2023-12-17,2023,12,173,276,4,453,0.3818984547461370,0.3818984547461370
2023-12-18,2023,12,233,253,3,489,0.47648261758691200,0.47648261758691200
2023-12-19,2023,12,362,372,6,740,0.4891891891891890,0.4891891891891890
2023-12-20,2023,12,298,330,3,631,0.4722662440570520,0.4722662440570520
2023-12-21,2023,12,244,289,4,537,0.4543761638733710,0.4543761638733710
2023-12-22,2023,12,233,344,6,583,0.3996569468267580,0.3996569468267580
2023-12-23,2023,12,159,281,1,441,0.36054421768707500,0.36054421768707500
2023-12-24,2023,12,123,217,5,345,0.3565217391304350,0.3565217391304350
2023-12-25,2023,12,119,136,1,256,0.46484375,0.46484375
2023-12-26,2023,12,254,314,4,572,0.44405594405594400,0.44405594405594400
2023-12-27,2023,12,288,373,6,667,0.431784107946027,0.431784107946027
2023-12-28,2023,12,233,308,3,544,0.42830882352941200,0.42830882352941200
2023-12-29,2023,12,221,340,5,566,0.39045936395759700,0.39045936395759700
2023-12-30,2023,12,214,335,4,553,0.38698010849909600,0.38698010849909600
